#List of considered 24,479 proteomes considered for NetFlax

GCF_000005825.2	Bacillus pseudofirmus OF4
GCF_007830175.1	Sedimentibacter saalensis
GCF_007830185.1	Alkalihalobacillus nanhaiisediminis
GCF_007830205.1	Bradyrhizobium daqingense
GCF_007830255.1	Azomonas agilis
GCF_007830265.1	Micromonospora olivasterospora
GCF_007830335.1	Paracoccus sulfuroxidans
GCF_007830355.1	Flavobacterium tiangeerense
GCF_007830385.1	Flavobacterium cauense R2A-7
GCF_007830435.1	Desulfobotulus alkaliphilus
GCF_007830445.1	Sphingobacterium siyangense
GCF_007830455.1	Massilia lurida
GCF_007830515.1	Mesorhizobium tianshanense
GCF_007830575.1	Bradyrhizobium yuanmingense
GCF_007830615.1	Mucilaginibacter frigoritolerans
GCF_007830625.1	Gemmobacter caeni
GCF_007830635.1	Bradyrhizobium huanghuaihaiense
GCF_007830735.1	Geobacter argillaceus
GCF_007830875.1	Calothrix desertica PCC 7102
GCF_007833635.1	Candidatus Pelagibacter sp. FZCC0015
GCF_007833675.1	Pedobacter suwonensis
GCF_007844155.1	Vogesella perlucida
GCF_007845585.1	Apibacter muscae
GCF_007845645.1	Leekyejoonella antrihumi
GCF_007855275.1	Glutamicibacter halophytocola
GCF_007856155.1	Streptomyces qinzhouensis
GCF_007858355.1	Pseudomonas saxonica
GCF_007858435.1	Tsukamurella asaccharolytica
GCF_007858445.1	Tsukamurella sputi
GCF_007858475.1	Tsukamurella conjunctivitidis
GCF_007858975.2	Dickeya poaceiphila
GCF_007859115.1	Shigella phage MK-13
GCF_007859195.1	Streptococcus pharyngis
GCF_007859215.1	Corynebacterium canis
GCF_007859325.1	Luteimonas marina
GCF_007859615.1	Mycoplasma anserisalpingitidis
GCF_007859655.1	Devosia ginsengisoli
GCF_007859715.1	Rubinisphaera italica
GCF_007859735.1	Thalassoglobus neptunius
GCF_007859755.1	Blastopirellula retiformator
GCF_007859765.1	Posidoniimonas corsicana
GCF_007859815.1	Botrimarina hoheduenensis
GCF_007859855.1	Rhodopirellula solitaria
GCF_007859865.1	Rubripirellula amarantea
GCF_007859875.1	Crateriforma conspicua
GCF_007859915.1	Rhodopirellula pilleata
GCF_007859935.1	Posidoniimonas polymericola
GCF_007859945.1	Pseudobythopirellula maris
GCF_007859955.1	Botrimarina colliarenosi
GCF_007860015.1	Bythopirellula polymerisocia
GCF_007860045.1	Stieleria varia
GCF_007860075.1	Symmachiella macrocystis
GCF_007860095.1	Novipirellula galeiformis
GCF_007860125.1	Rubripirellula tenax
GCF_007860135.1	Novipirellula artificiosorum
GCF_007860175.1	Rubripirellula reticaptiva
GCF_007860185.1	Novipirellula aureliae
GCF_007896435.1	Rummeliibacillus suwonensis
GCF_007896895.1	Streptomyces misionensis
GCF_007904085.1	Euhalothece natronophila Z-M001
GCF_007922675.1	Dellaglioa algida
GCF_007923265.1	Francisella salimarina
GCF_007923355.1	Phaeobacter marinintestinus
GCF_007923445.1	Puniceibacterium confluentis
GCF_007954275.1	Colwellia demingiae
GCF_007954305.1	Colwellia hornerae
GCF_007954425.1	Novosphingobium ginsenosidimutans
GCF_007954545.1	Weissella soli
GCF_007954585.1	Pistricoccus aurantiacus
GCF_007954645.1	Lactobacillus curvatus
GCF_007954685.1	Lactobacillus coryniformis
GCF_007954725.1	Weissella hellenica
GCF_007970185.1	Pseudobacter ginsenosidimutans
GCF_007970465.1	Corynebacterium nuruki S6-4
GCF_007970665.1	Baekduia soli
GCF_007970805.1	Flavisolibacter ginsenosidimutans
GCF_007971025.1	Mucilaginibacter ginsenosidivorans
GCF_007971225.1	Panacibacter ginsenosidivorans
GCF_007971385.1	Arachidicoccus ginsenosidivorans
GCF_007971525.1	Mucilaginibacter ginsenosidivorax
GCF_007988845.1	Alkalibacterium putridalgicola
GCF_007988865.1	Alkalibacterium kapii
GCF_007988925.1	Acidomonas methanolica NBRC 104435
GCF_007988945.1	Swaminathania salitolerans
GCF_007989045.1	Pediococcus cellicola
GCF_007989085.1	Pseudonocardia sulfidoxydans NBRC 16205
GCF_007989305.1	Acetobacter cibinongensis
GCF_007989425.1	Rickettsia asiatica
GCF_007989465.1	Halomonas halophila
GCF_007989525.1	Lactobacillus japonicus
GCF_007989565.1	Marinococcus halophilus
GCF_007989725.1	Kurthia sibirica
GCF_007989805.1	Cellulomonas xylanilytica
GCF_007989825.1	Cellulomonas persica
GCF_007990225.1	Enterococcus villorum
GCF_007990245.1	Cellulomonas composti
GCF_007990265.1	Cellulomonas terrae
GCF_007990365.1	Leptotrichia trevisanii
GCF_007990505.1	Pseudoleptotrichia goodfellowii
GCF_007990525.1	Leptotrichia hofstadii
GCF_007990545.2	Leptotrichia wadei
GCF_007990635.1	Leptotrichia hongkongensis
GCF_007990755.1	Nocardia ninae NBRC 108245
GCF_007990775.1	Deinococcus cellulosilyticus NBRC 106333 = KACC 11606
GCF_007990975.1	Meiothermus hypogaeus NBRC 106114
GCF_007990995.1	Meiothermus granaticius NBRC 107808
GCF_007991075.1	Acetobacter indonesiensis
GCF_007991175.1	Halovibrio variabilis
GCF_007991215.1	Aneurinibacillus danicus
GCF_007991275.1	Alkalibacillus haloalkaliphilus
GCF_007991335.1	Halobacillus faecis
GCF_007991415.1	Chryseobacterium rhizosphaerae
GCF_007991435.1	Chryseobacterium lathyri
GCF_007991455.1	Chryseobacterium hagamense
GCF_007991475.1	Actinotalea fermentans
GCF_007991615.1	Novosphingobium sediminis
GCF_007991635.1	Adhaeribacter aerolatus
GCF_007991655.1	Segetibacter aerophilus
GCF_007991675.1	Microvirga aerophila
GCF_007991695.1	Cyclobacterium qasimii
GCF_007991715.1	Alicyclobacillus acidoterrestris
GCF_007991735.1	Terrabacter aerolatus
GCF_007991755.1	Cellulomonas aerilata
GCF_007991775.1	Skermanella aerolata
GCF_007991935.1	Companilactobacillus nantensis
GCF_007992075.1	Pararhodospirillum oryzae
GCF_007992095.1	Rhizobium naphthalenivorans
GCF_007992115.1	Aeromicrobium flavum
GCF_007992175.1	Methylobacterium haplocladii
GCF_007992195.1	Methylobacterium oxalidis
GCF_007992215.1	Methylobacterium gnaphalii
GCF_007992355.1	Cryobacterium levicorallinum
GCF_007992435.1	Brevifollis gellanilyticus
GCF_007992495.1	Reyranella soli
GCF_007992715.1	Chitinophaga cymbidii
GCF_007992775.1	Staphylococcus gallinarum
GCF_007992835.1	Knoellia locipacati
GCF_007993035.1	Vicingus serpentipes
GCF_007993045.1	Phaeodactylibacter luteus
GCF_007993065.1	Paracoccus aurantiacus
GCF_007993655.1	Candidatus Deianiraea vastatrix
GCF_007993735.1	Arenimonas daejeonensis
GCF_007993775.1	Persicimonas caeni
GCF_007993815.1	Acidovorax delafieldii
GCF_007993825.1	Salisediminibacterium halotolerans
GCF_007993935.1	Bradyrhizobium macuxiense
GCF_007993965.1	Prauserella muralis
GCF_007993975.1	Novosphingobium barchaimii
GCF_007994015.1	Pedobacter terrae
GCF_007994055.1	Filimonas endophytica
GCF_007994075.1	Pseudonocardia hierapolitana
GCF_007994095.1	Pseudoxanthomonas taiwanensis J19
GCF_007994155.1	Flavobacterium glaciei
GCF_007994225.1	Stackebrandtia albiflava
GCF_007994735.1	Nesterenkonia populi
GCF_007995015.1	Luteibaculum oceani
GCF_007995055.1	Sphingosinicella ginsenosidimutans
GCF_007995065.1	Sphingomonas ginsenosidivorax
GCF_007995085.1	Paraburkholderia azotifigens
GCF_007995095.1	Sphingorhabdus soli
GCF_007995155.1	Bacillus dafuensis
GCF_007996985.1	Extensimonas vulgaris
GCF_007997155.1	Aequorivita antarctica
GCF_007997205.1	Subsaximicrobium wynnwilliamsii
GCF_007997295.1	Gillisia hiemivivida
GCF_007997305.1	Psychrobacter frigidicola
GCF_007997315.1	Psychroflexus gondwanensis
GCF_007997385.1	Seonamhaeicola algicola
GCF_007998375.1	Escherichia phage Henu8
GCF_007998475.1	Salmonella phage Th1
GCF_007998555.1	Klebsiella phage KpCHEMY26
GCF_008000675.1	Salmonella virus VSe12
GCF_008000755.1	Youhaiella tibetensis
GCF_008000775.1	Candidatus Prometheoarchaeum syntrophicum
GCF_008000795.1	Rhodanobacter glycinis
GCF_008000815.1	Terriglobus albidus
GCF_008000835.1	Malaciobacter canalis
GCF_008000935.1	Flavobacterium alkalisoli
GCF_008001015.1	Serinicoccus profundi
GCF_008001405.1	Arthrobacter phage Zartrosa
GCF_008011915.1	Rhodococcus rhodnii
GCF_008014775.1	Alkalicoccus halolimnae
GCF_008016445.1	Brachyspira aalborgi
GCF_008016795.1	Prevotella brunnea
GCF_008017415.1	Microbacterium hatanonis
GCF_008017435.1	Microbacterium saccharophilum
GCF_008017445.1	Microbacterium mitrae
GCF_008017695.1	Campylobacter helveticus
GCF_008033135.1	Chitinolyticbacter meiyuanensis
GCF_008033155.1	Lactobacillus malefermentans
GCF_008033215.1	Wolbachia endosymbiont of Drosophila ananassae
GCF_008033235.1	Anseongella ginsenosidimutans
GCF_008033385.1	Algibacter pacificus
GCF_008033445.1	Vulcaniibacterium gelatinicum
GCF_008035925.1	Stieleria maiorica
GCF_008039565.1	Aeromicrobium terrae
GCF_008040105.1	Lacisediminihabitans profunda
GCF_008041945.1	Reinekea thalattae
GCF_008056315.1	Seonamhaeicola maritimus
GCF_008064635.1	Parahaliea aestuarii
GCF_008064995.1	Streptomyces rochei
GCF_008065115.1	Bythopirellula goksoyri
GCF_008065135.1	Roseimaritima ulvae
GCF_008079445.1	Aidingimonas lacisalsi
GCF_008083195.1	Sulfurospirillum multivorans
GCF_008084145.1	Paenibacillus faecis
GCF_008084905.1	Formosa maritima
GCF_008085455.1	Seonamhaeicola marinus
GCF_008085895.1	Actinomadura chibensis
GCF_008085905.1	Actinomadura syzygii
GCF_008085995.1	Microbispora tritici
GCF_008086165.1	Bizionia algoritergicola
GCF_008086175.1	Bizionia saleffrena
GCF_008086185.1	Bizionia gelidisalsuginis
GCF_008086205.1	Bizionia myxarmorum
GCF_008086545.1	Spiroplasma chinense
GCF_008086875.1	Aeromonas sobria
GCF_008087085.1	Nocardioides rubriscoriae
GCF_008087205.1	Oceanobacillus profundus
GCF_008087345.1	Marmoricola caldifontis
GCF_008087625.1	Aquisphaera giovannonii
GCF_008087665.1	Mariniblastus fucicola
GCF_008107445.1	Arthrobacter echini
GCF_008107585.1	Acetobacterium wieringae
GCF_008107625.1	Zoogloea oleivorans
GCF_008107635.1	Weissella muntiaci
GCF_008107645.1	Leuconostoc litchii
GCF_008118345.1	Gluconobacter thailandicus
GCF_008119665.1	Pigmentiphaga aceris
GCF_008121305.1	Actinomadura decatromicini
GCF_008121455.1	Evtepia gabavorous
GCF_008122265.1	Marinobacter fonticola
GCF_008123425.1	Bradyrhizobium rifense
GCF_008123515.1	Bradyrhizobium cytisi
GCF_008124525.1	Oceanicella actignis
GCF_008124615.1	Geothermobacter ehrlichii
GCF_008124625.1	Desulfallas thermosapovorans DSM 6562
GCF_008124715.1	Thermosediminibacter litoriperuensis
GCF_008124765.1	Paenibacillus methanolicus
GCF_008124785.1	Aquimarina intermedia
GCF_008124835.1	Blastococcus xanthinilyticus
GCF_008124865.1	Fodinibius salinus
GCF_008124875.1	Tenacibaculum adriaticum
GCF_008124885.1	Sphingobacterium composti Yoo et al. 2007 non Ten et al. 2007
GCF_008151785.1	Peptacetobacter hiranonis
GCF_008180775.1	Bacillus aquimaris
GCF_008189285.1	Candidatus Cytomitobacter indipagum
GCF_008189405.1	Candidatus Cytomitobacter primus
GCF_008189525.1	Candidatus Nesciobacter abundans
GCF_008189685.1	Candidatus Sneabacter namystus
GCF_008214025.1	Shigella phage JK16
GCF_008214525.1	Klebsiella phage Sin4
GCF_008214585.1	Klebsiella phage Sweeny
GCF_008214625.1	Klebsiella phage Skenny
GCF_008214665.1	Klebsiella phage Shelby
GCF_008214835.1	Salmonella phage SE4
GCF_008214915.1	Escherichia phage Mangalitsa
GCF_008214945.1	Klebsiella phage Magnus
GCF_008215005.1	Aeromonas phage 2_L372X
GCF_008215065.1	Aeromonas phage 4_L372D
GCF_008215125.1	Aeromonas phage 4_L372XY
GCF_008215185.1	Aeromonas phage 4_4572
GCF_008215305.1	Stenotrophomonas phage Pokken
GCF_008215425.1	Serratia phage MyoSmar
GCF_008220985.1	Klebsiella phage vB_KpnS_Domnhall
GCF_008221045.1	Klebsiella phage vB_KpnS_IMGroot
GCF_008221175.1	Klebsiella phage vB_KpnS_Call
GCF_008221245.1	Klebsiella phage vB_KpnS_SegesCirculi
GCF_008221375.1	Klebsiella phage vB_KpnS_Alina
GCF_008221985.1	Salmonella phage SE14
GCF_008222385.1	Salmonella phage SS9
GCF_008222785.1	Salmonella phage SE24
GCF_008227395.1	Salmonella phage SW9
GCF_008227445.1	Salmonella phage SI7
GCF_008227565.1	Salmonella phage SE11
GCF_008245005.1	Campylobacter sputorum biovar sputorum
GCF_008245065.1	Wolbachia endosymbiont of Chrysomya megacephala
GCF_008245225.1	Natrialba swarupiae
GCF_008247605.1	Kushneria phosphatilytica
GCF_008254045.1	Limnoglobus roseus
GCF_008271425.1	Cupriavidus campinensis
GCF_008271465.1	Rhodobacter flagellatus
GCF_008271655.1	Gemmobacter caeruleus
GCF_008274215.1	Calorimonas adulescens
GCF_008274695.1	Sphingomonas montanisoli
GCF_008274785.1	Halomonas eurihalina
GCF_008274805.1	Oryzomicrobium terrae
GCF_008274825.1	Sphingobacterium hotanense
GCF_008274845.1	Exiguobacterium acetylicum
GCF_008275125.1	Chromobacterium paludis
GCF_008281175.1	[Clostridium] hylemonae DSM 15053
GCF_008304605.1	Oceanobacillus polygoni
GCF_008312835.1	Streptomyces marokkonensis
GCF_008326385.1	Sulfuracidifex tepidarius
GCF_008327825.1	Leptotrichia shahii
GCF_008329645.1	Mycobacterium grossiae
GCF_008329805.1	Chlamydia abortus
GCF_008329925.1	Sphaerotilus natans subsp. sulfidivorans
GCF_008329945.1	Thiospirochaeta perfilievii
GCF_008329965.1	Oceanispirochaeta crateris
GCF_008330005.1	Bordetella pertussis
GCF_008330025.1	Haemophilus parahaemolyticus
GCF_008330085.1	Kosakonia radicincitans
GCF_008362905.1	Deferribacter autotrophicus
GCF_008364555.1	Enterobacter vonholyi
GCF_008364625.1	Enterobacter dykesii
GCF_008365355.1	Xanthomonas translucens pv. undulosa
GCF_008365375.1	Roseomonas genomospecies 6
GCF_008367235.1	Pareuzebyella sediminis
GCF_008368715.1	Nitrincola tapanii
GCF_008369105.1	Aquicoccus porphyridii
GCF_008369445.1	Aureimonas fodinaquatilis
GCF_008369725.1	Paenibacillus antarcticus
GCF_008369745.1	Flavobacterium nitrogenifigens
GCF_008369765.1	Francisella marina
GCF_008370015.1	Paeniglutamicibacter gangotriensis
GCF_008370215.1	Pseudoalteromonas fuliginea
GCF_008370225.1	Pseudoalteromonas distincta
GCF_008373105.1	Mycolicibacter arupensis
GCF_008374075.1	Rubripirellula obstinata
GCF_008375435.2	Pseudomonas phage Zuri
GCF_008375495.1	Klebsiella phage Soft
GCF_008375615.1	Pseudomonas virus PA8P1
GCF_008386315.1	Serinicoccus marinus DSM 15273
GCF_008386565.1	Roseomonas oryzae
GCF_008386635.1	Maribacter flavus
GCF_008477545.1	Roseibium aestuarii
GCF_008520265.1	Sphingobacterium cavernae
GCF_008586845.1	Chlorobium phaeovibrioides
GCF_008605645.1	Salmonella phage OSY-STA
GCF_008605685.1	Sinorhizobium phage ort11
GCF_008605725.1	Salmonella phage 1-29
GCF_008630065.1	Blastochloris sulfoviridis
GCF_008630155.1	Rhodovastum atsumiense
GCF_008630495.1	Alkalicaulis satelles
GCF_008630535.1	Saccharopolyspora hirsuta
GCF_008630635.1	Neptunomonas concharum
GCF_008632335.1	Thiohalocapsa marina
GCF_008632455.1	Methylomonas rhizoryzae
GCF_008632615.1	Lactobacillus nenjiangensis
GCF_008632955.1	Streptomyces tendae
GCF_008634025.1	Streptomyces albofaciens JCM 4342
GCF_008635795.1	Paenibacillus tepidiphilus
GCF_008635805.1	Paenibacillus azotifigens
GCF_008636115.1	Candidatus Tokpelaia sp.
GCF_008638305.1	Pseudomonas profundi
GCF_008638355.1	Nocardiopsis deserti
GCF_008638365.1	Nocardiopsis quinghaiensis
GCF_008638415.1	Nocardiopsis sinuspersici
GCF_008639045.1	Streptomyces venezuelae
GCF_008641065.1	Rhabdaerophilum calidifontis
GCF_008682325.1	Bacillus swezeyi
GCF_008690275.1	Pararcticibacter tournemirensis
GCF_008692105.1	Pseudomonas extremaustralis
GCF_008692365.1	Candidatus Enterovibrio escacola
GCF_008692605.1	Sphingobium estronivorans
GCF_008692745.1	Vibrio gigantis
GCF_008692955.1	Morganella psychrotolerans
GCF_008693185.1	Acinetobacter qingfengensis
GCF_008693365.1	Yersinia pseudotuberculosis
GCF_008693385.1	Cupriavidus pauculus
GCF_008693785.1	Roseomonas mucosa
GCF_008693865.1	Paracoccus yeei
GCF_008693965.1	Pseudomonas luteola
GCF_008698085.1	Bifidobacterium callitrichos
GCF_008698125.1	Bifidobacterium reuteri
GCF_008698145.1	Bifidobacterium vespertilionis
GCF_008698155.1	Bifidobacterium myosotis
GCF_008698165.1	Bifidobacterium tissieri
GCF_008698235.1	Bifidobacterium rousetti
GCF_008703965.1	Norovirus GI
GCF_008703985.1	Norovirus GI
GCF_008704005.1	Norovirus GIV
GCF_008704025.1	Norovirus GI
GCF_008704205.1	Nocardia colli
GCF_008704395.1	Streptomyces alboniger
GCF_008704425.1	Streptomyces fradiae ATCC 10745 = DSM 40063
GCF_008704445.1	Streptomyces prasinus
GCF_008704475.1	Streptomyces viridifaciens
GCF_008704495.1	Streptomyces kanamyceticus
GCF_008704515.1	Streptomyces viridosporus T7A
GCF_008704535.1	Streptomyces subrutilus
GCF_008704555.1	Streptomyces nitrosporeus
GCF_008704575.1	Streptomyces galilaeus
GCF_008704655.1	Streptomyces rimosus
GCF_008704675.1	Salmonella phage 2-3
GCF_008704755.1	Erwinia phage pEp_SNUABM_01
GCF_008704795.1	Streptomyces spectabilis
GCF_008704855.1	Streptomyces platensis
GCF_008704935.1	Streptomyces vinaceus
GCF_008704995.1	Streptomyces nodosus
GCF_008705035.1	Gordonia phage Chikenjars
GCF_008705135.1	Streptomyces coeruleorubidus
GCF_008705175.1	Clostridium diolis
GCF_008710035.1	Stenotrophomonas cyclobalanopsidis
GCF_008710135.1	Paenibacillus spiritus
GCF_008710145.1	Bacillus endozanthoxylicus
GCF_008710155.1	Sphingobium limneticum
GCF_008710705.1	Microbacterium radiodurans
GCF_008710745.1	Microbacterium rhizomatis
GCF_008711145.1	Arenibacter lacus
GCF_008711325.1	Roseibium sediminis
GCF_008711635.1	Norovirus GII
GCF_008723255.1	Lonepinella koalarum
GCF_008725535.1	Roseovarius Plymouth podovirus 1
GCF_008727715.1	Mesorhizobium terrae
GCF_008728085.1	Microbispora cellulosiformans
GCF_008728195.1	Roseovarius indicus
GCF_008728215.1	Erwinia billingiae
GCF_008728635.1	Hymenobacter baengnokdamensis
GCF_008728835.1	Hypericibacter adhaerens
GCF_008728855.1	Hypericibacter terrae
GCF_008728895.1	Mycoplasma gallisepticum
GCF_008756925.1	Vibrio fortis
GCF_008757455.1	Microvirga brassicacearum
GCF_008795985.1	Marinobacter halotolerans
GCF_008801235.1	Clostridium phage CPD2
GCF_008801275.1	Anaplasma marginale
GCF_008801475.1	Pseudomonas moorei
GCF_008801575.1	[Pseudomonas] cissicola
GCF_008801845.1	Ideonella dechloratans
GCF_008801925.2	Cupriavidus basilensis
GCF_008802205.1	Acinetobacter gandensis
GCF_008802405.1	Aureimonas leprariae
GCF_008802995.1	Rhynchosia golden mosaic virus
GCF_008803015.1	Streptococcus ratti
GCF_008805035.1	Eikenella exigua
GCF_008806325.1	Salibacter halophilus
GCF_008806385.1	Methylobacterium soli
GCF_008806755.1	Tenacibaculum aiptasiae
GCF_008806775.1	Flavobacterium luteum
GCF_008806895.1	Halorubrum halophilum
GCF_008806995.1	Neisseria animalis
GCF_008807015.1	Neisseria zalophi
GCF_008807375.1	Pseudomonas lalkuanensis
GCF_008807415.1	Pseudomonas denitrificans (nom. rej.)
GCF_008807735.1	Bacillus wiedmannii
GCF_008807855.1	Cupriavidus oxalaticus
GCF_008808095.1	Pseudoalteromonas ruthenica
GCF_008828745.2	Borreliella turdi
GCF_008830185.1	Candidatus Galacturonibacter soehngenii
GCF_008830225.1	Desulfovibrio senegalensis
GCF_008830375.1	Veillonella seminalis
GCF_008831035.1	Ellagibacter isourolithinifaciens
GCF_008831075.1	Pseudoclavibacter terrae
GCF_008831125.1	Pseudoclavibacter caeni
GCF_008831135.1	Pseudoclavibacter chungangensis
GCF_008831155.1	Gulosibacter chungangensis
GCF_008831265.1	Lacisediminimonas profundi
GCF_008831305.1	Kocuria coralli
GCF_008831385.1	Lactobacillus dextrinicus
GCF_008838325.1	Tepidiforma bonchosmolovskayae
GCF_008843145.1	Skermanella pratensis
GCF_008843165.1	Ornithinimicrobium pratense
GCF_008868005.1	Microbacterium algeriense
GCF_008868125.1	Microbacterium maritypicum
GCF_008868165.1	Micromonospora noduli
GCF_008868685.1	Streptomyces triticiradicis
GCF_008876665.1	Lactobacillus frumenti
GCF_008894185.1	Salmonella phage ST-101
GCF_008905045.1	Streptomyces albicerus
GCF_008923185.1	Actinomadura rudentiformis
GCF_008923245.1	Cytobacillus depressus
GCF_008923265.1	Bacillus mesophilum
GCF_008923365.1	Actinomadura montaniterrae
GCF_008929045.1	Noviherbaspirillum aerium
GCF_008930655.1	Salipiger aestuarii
GCF_008931805.1	Moritella marina ATCC 15381
GCF_008931845.1	Borrelia maritima
GCF_008932115.1	Bradyrhizobium betae
GCF_008932225.1	Qipengyuania flava
GCF_008932245.1	Ensifer alkalisoli
GCF_008932385.1	Ochrobactrum lupini
GCF_008933115.1	Phaeocystidibacter luteus
GCF_008933155.1	Aliivibrio finisterrensis
GCF_008933955.1	Heliorestis acidaminivorans
GCF_008935055.1	Pseudobutyrivibrio xylanivorans
GCF_008938875.1	Mycobacterium phage Yunkel11
GCF_008939205.1	Mycobacterium phage ThulaThula
GCF_008939385.1	Mycobacterium phage Yuna
GCF_008939465.1	Arthrobacter phage TripleJ
GCF_008939685.1	Gordonia phage Gibbin
GCF_008939825.1	Mycobacterium phage Zavala
GCF_008939845.1	Mycobacterium phage Ekdilam
GCF_008945125.1	Gordonia phage Lambo
GCF_008945425.1	Mycobacterium phage Curiosium
GCF_008945625.1	Gordonia phage Sadboi
GCF_008945765.1	Arthrobacter phage Lymara
GCF_008946025.1	Salmonella phage vB_SenS_SB13
GCF_008946225.1	Gordonia phage Ranch
GCF_008946565.1	Mycobacterium phage Doug
GCF_008946625.1	Mycobacterium phage Nitzel
GCF_008951945.1	Proteus phage Myduc
GCF_008973485.1	Psychrobacillus glaciei
GCF_008973665.1	Paenibacillus tengchongensis
GCF_008973715.1	Nitrincola schmidtii
GCF_008973725.1	Arthrobacter luteolus
GCF_008973755.1	Nitrincola alkalilacustris
GCF_008974245.1	Streptomyces abyssomicinicus
GCF_008974265.1	Dictyobacter vulcani
GCF_008974285.1	Thermogemmatispora aurantia
GCF_008974325.1	Ulvibacter marinus
GCF_008979625.1	Acinetobacter soli
GCF_008979885.1	Acinetobacter ursingii
GCF_008980645.1	Acinetobacter brisouii
GCF_008987005.1	Acinetobacter colistiniresistens
GCF_009012935.1	Wolbachia endosymbiont of Nasonia oneida
GCF_009017255.1	Alkaliphilus serpentinus
GCF_009017275.1	Alkaliphilus pronyensis
GCF_009025875.1	Lactobacillus graminis
GCF_009036245.1	Enterobacter sichuanensis
GCF_009078285.1	Bifidobacterium jacchi
GCF_009176265.1	Streptomyces angustmyceticus
GCF_009176545.1	Salinigranum salinum
GCF_009176645.1	Enterobacter oligotrophicus
GCF_009176975.1	Aureimonas psammosilene
GCF_009177095.1	Lacipirellula parvula
GCF_009183655.1	Bacillus aerolatus
GCF_009183815.1	Sutterella seckii
GCF_009184425.1	Muricauda olearia
GCF_009184635.1	Rudanella paleaurantiibacter
GCF_009184705.1	Lactobacillus mali
GCF_009184845.1	Lactobacillus manihotivorans
GCF_009184865.1	Streptomyces phaeolivaceus
GCF_009184905.1	Parvibaculum sedimenti
GCF_009186365.1	Mycobacterium phage LilMcDreamy
GCF_009186385.1	Mycobacterium phage Marshawn
GCF_009186435.1	Gordonia phage OhMyWard
GCF_009186825.1	Gordonia phage Tanis
GCF_009192725.1	Segeticoccus rhizosphaerae
GCF_009192845.1	Mycolicibacterium mucogenicum DSM 44124
GCF_009192945.1	Xanthomonas maliensis
GCF_009192995.1	Sulfurimonas indica
GCF_009193175.1	Georgenia ruanii
GCF_009193215.1	Flavicella marina
GCF_009193255.1	Arthrobacter koreensis
GCF_009193265.1	Marinobacter changyiensis
GCF_009208535.1	Streptomyces mobaraensis
GCF_009208555.1	Janthinobacterium violaceinigrum
GCF_009208585.1	Fluviispira multicolorata
GCF_009208775.1	Silvanigrella paludirubra
GCF_009217465.1	Klebsiella phage KL
GCF_009217765.1	Lactobacillus harbinensis
GCF_009268075.1	'Cynodon dactylon' phytoplasma
GCF_009268105.1	Candidatus Phytoplasma sacchari
GCF_009295505.1	Rouxiella chamberiensis
GCF_009295515.1	Erwinia endophytica
GCF_009295565.1	Carnobacterium divergens
GCF_009295675.1	Lactiplantibacillus pentosus
GCF_009295725.1	Clostridium tarantellae
GCF_009295845.1	Lactobacillus zymae
GCF_009295905.1	Companilactobacillus paralimentarius
GCF_009296085.1	Escherichia virus VEc33
GCF_009296165.1	Pseudomonas kitaguniensis
GCF_009296175.1	Microvirga tunisiensis
GCF_009299305.1	Georgenia thermotolerans
GCF_009299485.1	Bifidobacterium apri
GCF_009299835.1	Microlunatus speluncae
GCF_009301415.1	Paracoccus kondratievae
GCF_009362255.1	Tenacibaculum mesophilum
GCF_009362315.1	Georgenia subflava
GCF_009362735.1	Paraburkholderia franconis
GCF_009362935.1	Lactobacillus vaginalis
GCF_009362975.1	Pantoea dispersa
GCF_009362995.1	Delftia tsuruhatensis
GCF_009363055.1	Flavobacterium haoranii
GCF_009363075.1	Paenibacillus guangzhouensis
GCF_009363095.1	Paenibacillus cellulositrophicus
GCF_009363115.1	Paenibacillus brasilensis
GCF_009363135.1	Kosakonia arachidis
GCF_009363155.1	Azotobacter salinestris
GCF_009363175.1	Citrobacter telavivum
GCF_009363415.1	Vibrio aquimaris
GCF_009363855.1	Microvirga thermotolerans
GCF_009363895.1	Sphingomonas ginsengisoli An et al. 2013
GCF_009371875.1	Bifidobacterium tibiigranuli
GCF_009372195.1	Nostoc sphaeroides CCNUC1
GCF_009372215.1	Acinetobacter portensis
GCF_009372255.1	Acinetobacter guerrae
GCF_009377175.1	Streptomyces adustus
GCF_009377185.1	Streptomyces spongiae
GCF_009377195.2	Arthrobacter bussei
GCF_009377205.1	Streptomyces phyllanthi
GCF_009380135.2	Fertoebacter nigrum
GCF_009380155.1	Pseudomonas piscis
GCF_009387965.1	Serratia phage Muldoon
GCF_009388065.1	Stenotrophomonas phage Mendera
GCF_009388085.1	Mycobacterium phage Juice456
GCF_009388225.1	Stenotrophomonas phage Moby
GCF_009388245.1	Salmonella phage 1-19
GCF_009388985.1	Halioglobus maricola
GCF_009389665.1	Photobacterium carnosum
GCF_009392895.1	Natronorubrum aibiense
GCF_009428905.1	Desulfofundulus thermobenzoicus
GCF_009428965.1	Lactobacillus pontis
GCF_009429125.1	Luteimicrobium xylanilyticum
GCF_009431915.1	Bacteriophage R18C
GCF_009431985.1	Pseudomonas virus Pa193
GCF_009451885.1	Glycomyces albidus
GCF_009455625.1	Paraburkholderia bonniea
GCF_009455635.1	Paraburkholderia agricolaris
GCF_009455685.1	Paraburkholderia hayleyella
GCF_009466385.1	Bacillus tepidiphilus
GCF_009467795.1	Nesterenkonia halophila
